product,hunt_priority,primary_card_types,headline_chases,team_hunt_use,notes
Donruss,1,"Rated Rookies; inserts; parallels; autos","Downtown; Downtown Horizontal; Rated Rookie","High","Strong entry-level and chase mix; existing main data already contains Rated Rookies #301-400 and Downtown lists."
Donruss Optic,1,"Rated Rookies; Holo/color parallels; autos; inserts","Downtown; Uptown; Downtown Duos; Downtown Legends; Mythical; Blazers","High","Use for visually recognizable rookie parallels and case-hit style chases. Beckett team sets provide team-level checklist support."
Prizm,1,"Base rookies; Silver/color parallels; autos; inserts","Color Blast; Manga; Aurora; Prizmania; Rookie Variations Silver; Black Finite 1/1","High","Core collector product. Team pages should prioritize rookie Silvers/color plus verified SSPs over generic base where possible."
Select,1,"Five base tiers; color parallels; autos; inserts","Zebra; Tiger; Color Wheel; Visionary; Tie-Dye /25; Gold /10; Black 1/1","High","Existing 500-card data is useful but needs rookie-flag QA. XRC 2025 class is product-only and excluded from 2024 Team Hunt."
Mosaic,1,"Base rookies; Mosaic parallels; autos; inserts","Stained Glass; Micro Mosaic; Genesis; Honeycomb; Peacock; Storm","High","Excellent visual variety for team reference/chase examples."
Absolute,2,"Rookies; memorabilia; autos; inserts","Kaboom Horizontal; Kaboom Vertical; Explosive; Glass","High","Kaboom is a key chase family and should surface whenever the selected team/player is on the verified checklist."
Phoenix,2,"Rookies; color parallels; autos; patch autos","Color Blast; Phoenicians; Gridiron Crowns","Medium-High","Useful visual alternative to Prizm/Optic and strong rookie autograph content."
Contenders,2,"Rookie Tickets; autos; parallels","Rookie Ticket; Cracked Ice /25; Super Bowl Ticket 1/1","Medium-High","Autograph-focused collector product."
Topps Chrome,2,"Chrome rookies; parallels; autos; inserts","Topps Chrome rookie parallels and verified SP inserts","Medium","Use only verified licensed/available team checklist content; do not infer parallels."
Origins,3,"Rookies; rookie autos; RPAs; inserts","Blank Slate; Big Bang; Rookie Patch Autographs","Medium","Premium visual product; good Exact Hits candidate where team checklist supports it."
Clearly Donruss,3,"Acetate Rated Rookies; autos; inserts","Clearly Downtown; Rated Rookie acetate; Rookie Autos","Medium","Good visual/reference-card variety without overusing standard Donruss/Optic designs."
Score,4,"Base rookies; inserts; autos","Verified SP/insert families","Low-Medium","Useful for completeness but not a launch-blocking Team Hunt product."
Prestige,4,"Rookies; parallels; inserts; autos","Nuclear; World Wide","Low-Medium","Secondary coverage."
Certified,4,"Rookies; parallels; autos; memorabilia","Freshman Fabric Signatures","Low-Medium","Secondary coverage."
Obsidian,4,"Rookies; parallels; autos; memorabilia","Black Color Blast; Vitreous; Contra","Medium","Visually strong premium secondary product."
Illusions,4,"Rookies; inserts; autos; memorabilia","Holoheroes; Mystique; Shining Stars","Low-Medium","Secondary coverage."
Gold Standard,4,"Rookies; autos; memorabilia","Golden Portraits; premium RPAs","Low-Medium","Secondary premium coverage."
Black,4,"Rookies; autos; memorabilia","Rookie Patch Autographs","Low","Secondary premium coverage."
