sport,season,manufacturer,product,release_date,checklist_status,team_sets_available,rookies,parallels,inserts,autographs,memorabilia,case_hit_or_ssp_examples,source_url,last_verified,priority
Football,2024,Panini,Score,2024-09-11,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,No,"Extraterrestrial; select SP inserts",https://www.beckett.com/news/2024-score-football-cards/,2026-08-28,Core
Football,2024,Panini,Prestige,2024-10-18,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,No,"Nuclear; World Wide",https://www.beckett.com/news/2024-panini-prestige-football-cards/,2026-08-28,Core
Football,2024,Panini,Origins,2024-10-04,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Blank Slate; Big Bang",https://www.beckett.com/news/2024-panini-origins-football-cards/,2026-08-28,Core
Football,2024,Panini,Gold Standard,2024-09-18,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Opulence Rookies; Golden Portraits",https://www.beckett.com/news/2024-panini-gold-standard-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Mosaic,2024-11-27,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,No,"Genesis; Honeycomb; Peacock",https://www.beckett.com/news/2024-panini-mosaic-football-cards/,2026-08-28,Core
Football,2024,Panini,Certified,2024-12-06,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Freshman Fabric Signatures; tough SP inserts",https://www.beckett.com/news/2024-panini-certified-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Black,2024-12-11,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Rookie Patch Autographs; limited inserts",https://www.beckett.com/news/2024-panini-black-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Absolute,2024-12-12,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Kaboom; Explosive",https://www.beckett.com/news/2024-panini-absolute-football-cards/,2026-08-28,Core
Football,2024,Panini,Prizm,2024-12-19,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Color Blast; Manga; retail SSPs",https://www.beckett.com/news/2024-panini-prizm-football-cards/,2026-08-28,Core
Football,2024,Topps,Topps Chrome,2025-02-19,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"1974 Topps Football; specialty insert chases",https://www.beckett.com/news/2024-topps-chrome-football-cards/,2026-08-28,Core
Football,2024,Panini,Donruss,2025-02-05,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Downtown; Night Moves; Rated Rookie variations",https://www.beckett.com/news/2024-donruss-football-cards/,2026-08-28,Core
Football,2024,Panini,Obsidian,2025-03-05,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Black Color Blast; Vitreous; Contra",https://www.beckett.com/news/2024-panini-obsidian-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Illusions,2025-03-07,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Holoheroes; Mystique; Shining Stars",https://www.beckett.com/news/2024-panini-illusions-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Phoenix,2025-04-18,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Color Blast; Phoenicians; Gridiron Crowns",https://www.beckett.com/news/2024-panini-phoenix-football-cards/,2026-08-28,Core
Football,2024,Panini,Donruss Optic,2025-04-23,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Downtown; Uptown; Mythical; Blazers",https://www.beckett.com/news/2024-donruss-optic-football-cards/,2026-08-28,Core
Football,2024,Panini,Clearly Donruss,2025-05-16,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,No,"Acetate Rated Rookies; Clearly Downtown",https://www.beckett.com/news/2024-clearly-donruss-football-cards/,2026-08-28,Secondary
Football,2024,Panini,Contenders,2025-07-02,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,No,"Rookie Ticket; Cracked Ice Ticket; Super Bowl Ticket 1/1",https://www.beckett.com/news/2024-panini-contenders-football-cards/,2026-08-28,Core
Football,2024,Panini,Select,2025-07-18,VERIFIED_FULL,Yes,Yes,Yes,Yes,Yes,Yes,"Zebra; Color Wheel; Visionary; XRC section excluded from 2024 Team Hunt eligibility",https://www.beckett.com/news/2024-panini-select-football-cards/,2026-08-28,Core
