team,priority_1,priority_1_type,priority_2,priority_2_type,priority_3,priority_3_type,priority_4,priority_4_type,notes
Arizona Cardinals,Marvin Harrison Jr.,2024 Rookie,Trey McBride,Star,Trey Benson,2024 Rookie,Kyler Murray,Star,"Lead with Harrison; Benson provides second rookie chase."
Atlanta Falcons,Michael Penix Jr.,2024 Rookie,Bijan Robinson,Star,Drake London,Star,Kirk Cousins,Star,"Penix is the rookie lead; Bijan remains a major hobby target."
Baltimore Ravens,Lamar Jackson,Star,Derrick Henry,Star,Zay Flowers,Young Star,Nate Wiggins,2024 Rookie,"Veteran-driven team with Wiggins as 2024 rookie option."
Buffalo Bills,Josh Allen,Star,Keon Coleman,2024 Rookie,James Cook,Star,Dalton Kincaid,Young Star,"Allen remains primary; Coleman is rookie chase."
Carolina Panthers,Xavier Legette,2024 Rookie,Bryce Young,Young Star,Jonathon Brooks,2024 Rookie,Ja'Tavion Sanders,2024 Rookie,"Rookie-heavy chase board; Legette first."
Chicago Bears,Caleb Williams,2024 Rookie,Rome Odunze,2024 Rookie,DJ Moore,Star,Cole Kmet,Star,"Williams and Odunze are the clear 2024 chase anchors."
Cincinnati Bengals,Joe Burrow,Star,Ja'Marr Chase,Star,Tee Higgins,Star,Jermaine Burton,2024 Rookie,"Veteran star-driven; Burton as rookie option."
Cleveland Browns,Myles Garrett,Star,Nick Chubb,Star,Jerry Jeudy,Star,Jamari Thrash,2024 Rookie,"No major 2024 hobby rookie; use proven stars before forcing a weak rookie."
Dallas Cowboys,CeeDee Lamb,Star,Micah Parsons,Star,Dak Prescott,Star,Jake Ferguson,Young Star,"Veteran/star-driven team."
Denver Broncos,Bo Nix,2024 Rookie,Courtland Sutton,Star,Troy Franklin,2024 Rookie,Audric Estime,2024 Rookie,"Nix is the obvious 2024 lead; Franklin/Estime add rookie depth."
Detroit Lions,Amon-Ra St. Brown,Star,Jahmyr Gibbs,Star,Jared Goff,Star,Terrion Arnold,2024 Rookie,"Use elite veteran offense with Arnold as rookie chase."
Green Bay Packers,Jordan Love,Star,Jayden Reed,Young Star,Josh Jacobs,Star,MarShawn Lloyd,2024 Rookie,"Love leads; Lloyd is the 2024 rookie skill-position target."
Houston Texans,C.J. Stroud,Star,Nico Collins,Star,Tank Dell,Young Star,Will Anderson Jr.,Star,"No need to force a 2024 rookie; Stroud/Collins/Dell are better hobby targets."
Indianapolis Colts,Anthony Richardson,Young Star,Jonathan Taylor,Star,Adonai Mitchell,2024 Rookie,Josh Downs,Young Star,"Mitchell is the best 2024 rookie skill-position chase."
Jacksonville Jaguars,Brian Thomas Jr.,2024 Rookie,Trevor Lawrence,Star,Travis Etienne Jr.,Star,Josh Hines-Allen,Star,"Thomas is one of the strongest non-QB rookie chases of 2024."
Kansas City Chiefs,Patrick Mahomes II,Star,Xavier Worthy,2024 Rookie,Travis Kelce,Star,Rashee Rice,Young Star,"Mahomes remains lead; Worthy is premium 2024 rookie chase."
Las Vegas Raiders,Brock Bowers,2024 Rookie,Maxx Crosby,Star,Jakobi Meyers,Star,Davante Adams,Star,"Bowers should lead every 2024 Raiders chase board."
Los Angeles Chargers,Ladd McConkey,2024 Rookie,Justin Herbert,Star,Derwin James Jr.,Star,Quentin Johnston,Young Star,"McConkey should lead 2024; Herbert remains top veteran."
Los Angeles Rams,Puka Nacua,Young Star,Matthew Stafford,Star,Kyren Williams,Star,Jared Verse,2024 Rookie,"Puka is the hobby lead; Verse is the 2024 rookie defensive chase."
Miami Dolphins,Tyreek Hill,Star,Tua Tagovailoa,Star,De'Von Achane,Young Star,Jaylen Wright,2024 Rookie,"Achane is a strong hobby target; Wright supplies 2024 rookie angle."
Minnesota Vikings,J.J. McCarthy,2024 Rookie,Justin Jefferson,Star,Jordan Addison,Young Star,Dallas Turner,2024 Rookie,"McCarthy and Jefferson make this a strong two-lane chase."
New England Patriots,Drake Maye,2024 Rookie,Christian Gonzalez,Young Star,Rhamondre Stevenson,Star,Ja'Lynn Polk,2024 Rookie,"Maye is the clear lead."
New Orleans Saints,Chris Olave,Young Star,Alvin Kamara,Star,Spencer Rattler,2024 Rookie,Kool-Aid McKinstry,2024 Rookie,"No need to overstate Rattler; Olave/Kamara remain stronger hobby names."
New York Giants,Malik Nabers,2024 Rookie,Tyrone Tracy Jr.,2024 Rookie,Dexter Lawrence,Star,Brian Burns,Star,"Nabers is the clear 2024 lead; Tracy is a valuable secondary rookie target."
New York Jets,Garrett Wilson,Young Star,Breece Hall,Young Star,Aaron Rodgers,Star,Braelon Allen,2024 Rookie,"Veteran/young-star driven with Allen as 2024 rookie skill-position option."
Philadelphia Eagles,Saquon Barkley,Star,Jalen Hurts,Star,A.J. Brown,Star,Cooper DeJean,2024 Rookie,"DeJean is the premium 2024 rookie target; offense supplies star depth."
