category,card_number,player_or_subject,team,serial_or_notes,source
Stained Glass,1,Patrick Mahomes II,Kansas City Chiefs,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,2,Joe Burrow,Cincinnati Bengals,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,3,C.J. Stroud,Houston Texans,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,4,Caleb Williams,Chicago Bears,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,5,Jayden Daniels,Washington Commanders,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,6,Drake Maye,New England Patriots,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,7,Bo Nix,Denver Broncos,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,8,Michael Penix Jr.,Atlanta Falcons,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,9,Marvin Harrison Jr.,Arizona Cardinals,"SSP insert; Choice Peacock parallel exists",Beckett
Stained Glass,10,Malik Nabers,New York Giants,"SSP insert; Choice Peacock parallel exists",Beckett
Micro Mosaic,1,Josh Allen,Buffalo Bills,"SSP insert",Beckett
Micro Mosaic,2,Lamar Jackson,Baltimore Ravens,"SSP insert",Beckett
Micro Mosaic,3,Patrick Mahomes II,Kansas City Chiefs,"SSP insert",Beckett
Micro Mosaic,4,Joe Burrow,Cincinnati Bengals,"SSP insert",Beckett
Micro Mosaic,5,Justin Jefferson,Minnesota Vikings,"SSP insert",Beckett
Micro Mosaic,6,Caleb Williams,Chicago Bears,"SSP insert",Beckett
Micro Mosaic,7,Jayden Daniels,Washington Commanders,"SSP insert",Beckett
Micro Mosaic,8,Drake Maye,New England Patriots,"SSP insert",Beckett
Micro Mosaic,9,Bo Nix,Denver Broncos,"SSP insert",Beckett
Micro Mosaic,10,Marvin Harrison Jr.,Arizona Cardinals,"SSP insert",Beckett
Base Rookie,301,Caleb Williams,Chicago Bears,"Rookie block #301-400; Genesis and Honeycomb are hobby chase parallels",Beckett
Base Rookie,302,Marvin Harrison Jr.,Arizona Cardinals,"Rookie block #301-400",Beckett
Base Rookie,303,Jayden Daniels,Washington Commanders,"Rookie block #301-400",Beckett
Base Rookie,304,Drake Maye,New England Patriots,"Rookie block #301-400",Beckett
Base Rookie,305,Malik Nabers,New York Giants,"Rookie block #301-400",Beckett
Base Rookie,306,Bo Nix,Denver Broncos,"Rookie block #301-400",Beckett
Base Rookie,307,Michael Penix Jr.,Atlanta Falcons,"Rookie block #301-400",Beckett
Base Rookie,308,Brock Bowers,Las Vegas Raiders,"Rookie block #301-400",Beckett
Base Rookie,309,Rome Odunze,Chicago Bears,"Rookie block #301-400",Beckett
Base Rookie,310,J.J. McCarthy,Minnesota Vikings,"Rookie block #301-400",Beckett
Chase Family,,Genesis,,"Verified Mosaic chase parallel family; card-level eligibility follows checklist",Beckett
Chase Family,,Honeycomb,,"Verified Mosaic chase parallel family; card-level eligibility follows checklist",Beckett
Chase Family,,Peacock Choice,,"Verified Choice chase parallel; do not infer serial numbering",Beckett
Chase Family,,Storm Mosaic,,"Verified chase family; surface only when player/card eligibility is confirmed",Beckett
